,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Belgium,1.4542841806764586,0.1310493612083163,0.6250974868752333,-0.37672448285754884,-0.4431672588902515,0.10663605888793094,-0.27442781358214097,0.09526898844651342,0.2127626853201477,-0.6591683442099137,-0.46013511081373004,0.021306496504982553,-0.05254464489575264,0.024435625634893904,0.297603308515206
Bulgaria,-5.599946416771015,1.3996019958167643,0.33281933735512015,-1.142653762758043,0.113471922142043,0.4146574524141471,-0.814649520173157,0.18491459448831182,0.7879056673323743,-0.1681010936730165,-0.2520164011987443,0.13562749493403847,-0.28249250341431337,0.5087885962909364,0.18381242813928883
Czechia,2.546566049962379,1.0420878211637337,2.1890324431970285,-0.7346903863311756,-0.34216258647822023,0.10827441590683405,-0.042097331018986744,-0.2759726001687454,0.027959116343378873,0.16898161121760147,0.5511947037831174,0.026226896374819817,0.4726644945634557,-0.07182306553598942,-0.06726922230435271
Denmark,2.159025302906614,-0.7534251188825758,-2.4482988128236687,0.8900919420729481,0.09318578722683735,-0.34458125574769694,-0.06982328750119404,0.11429816937663488,-0.2032708658108361,-0.37951299855084714,-0.21086445633231876,0.1927799393570781,0.04186198534275121,0.19724442162768357,-0.043154763879234004
Germany,3.0647264873318525,0.12665457552769144,-0.03481095858587782,-0.25143117607914095,-0.08556031837630947,-0.0611745414789568,0.13245461580842777,-0.004152348274752295,0.10271214405642547,0.009828264820652808,-0.17846846824984133,-0.1401359573891544,-0.046349405924123954,0.01100570227549208,0.21196845122701397
Estonia,2.0827148286725348,0.19358433233499098,0.11392564077202202,0.2199642112720285,0.31773620723575774,-0.12363542851440334,-0.4244478092073631,0.504357210885932,0.901576247052672,0.216064129981939,-0.16162438759198103,-0.1348547892340777,0.04064598464331837,0.26986636312349466,-0.29501272828457054
Ireland,-1.337384115640213,0.6009154404971451,0.07652861896366848,-0.13521973313609834,-0.11540523296007066,0.30468060766314464,0.16250253799402112,-0.4707223203305295,-0.5164165306514167,-0.5639961342408194,-0.26080358801085646,-0.4241045643619688,-0.3649601056460291,-0.4877545214401544,0.12310764846188767
Greece,-1.158275578596773,-1.5624058047753002,0.678174662330494,2.026400920603814,0.8886818561779987,-0.3918811869044482,-2.3311808056907024,-1.4329046596236663,0.08875805542571955,0.18430950626483666,0.10329405032409769,0.022372501651433858,-0.13364443650818345,0.022593290018751905,-0.025764706422601674
Spain,0.8085671329869669,0.40119746826978075,0.9761643855530602,-0.09239308789067348,0.31766815031838136,-0.18267795106556645,0.23566898910251957,0.320728216079319,-0.5142427276617211,-0.4697778625286742,-0.1286619274041223,-0.04116270366411559,-0.033053544472570494,-0.2125266940586339,-0.033348977846582945
France,0.20933923913618127,-0.03827299150998271,-0.08980887479281109,0.44623218631974054,-0.17434981984299072,0.13260503245201247,-0.09211756681870133,0.3218045668986557,-0.014153311431456289,-0.11249956904842626,0.04116798543953863,0.032079103940701695,-0.007823789951204835,-0.1253158035689179,-0.10664864367655826
Croatia,0.9653538061400422,1.4789282370524495,0.25548540690084076,-0.920225393399596,1.9518923103541843,-0.3666383689798651,-0.609028048256719,0.6008649955428625,-1.3102872511327939,-0.08860474950679566,-0.29025578988961076,0.5392765243264199,0.06257231010426062,0.20959782949080577,0.01690738745411202
Italy,-2.012391030520561,0.05523855887136464,-0.4998081833493157,0.016674317686887354,-0.3462686799039838,1.0452750014254057,0.40192345087901027,-0.5630716167080457,-0.22507303961779448,0.7337695266000326,-0.1858933964770776,-0.2830615969667067,-0.39271978176623834,0.07930299112745787,-0.13535667222079278
Cyprus,-3.8721925898197793,2.186931798525899,1.1849368976787416,1.0400128242904723,0.5871762637939997,0.41430897190094157,0.6465687977025031,0.43588825437877643,0.2430818694461318,0.21233805207729717,0.6561114276712308,-0.2568687595180791,-0.028546588437083464,0.33431495517061116,0.11110073547893684
Latvia,-0.31385577365421347,0.01572249427838139,0.038229522940807385,-0.7910598670094107,0.03025669819817754,0.02820907426856483,0.16938882390088547,-0.5531476459598623,0.052267999674971095,0.20106211581689923,-0.03429029818938452,0.04625953926036431,-0.031480952931723365,0.08317862182599076,0.09743977707181879
Lithuania,0.9029922631720156,0.3136293527244552,0.336689127421911,0.22448885868246563,0.7551074908010272,-0.28752034809736476,-0.06219360690765084,-0.4510634582865773,0.5881035440622723,-0.403631780038347,-0.08596127348681928,-0.2133570154157436,0.3649815426918609,-0.432834016982374,-0.032252520108516175
Luxembourg,0.8079170366778244,-0.33504852891520975,-0.48629471857561896,1.0140272554229353,-0.9794206998612403,1.1507795894014747,-0.008114449815623022,0.3856141645511543,-0.23657659408727677,-0.22628822887427574,0.012420615578315607,0.12149029884600684,-0.02549622903650258,-0.11814399815983402,-0.1280500231670493
Hungary,-0.33345450444654334,1.192059046303092,0.41387985289561613,-1.0838900424134057,0.5117096734756293,0.9889278462026566,-0.27452896074113425,0.26793085703969993,-0.017188941546565188,0.8591577803781016,-0.46716282551308463,-0.28086356719280203,0.0730397311646323,-0.2072495506071164,-0.2824671606937526
Malta,0.07375525751243674,0.07440481399904081,0.3663528010968744,0.4475647669989096,0.6900096394275218,-0.698796045980757,0.0992799518045912,0.05965223372776644,0.01904378553161317,-0.11310567256016756,-0.05185276481716453,-0.39411961599113404,0.23167238239203897,0.11454275155721412,0.018578650254886232
Netherlands,5.724019157800781,-0.3741464505587688,0.6432357415540013,0.3425526152868938,-1.4980768965218163,-0.47336621165052944,-0.4092322881058906,0.6418928014068352,-0.12552013804845777,-0.18348784457302567,0.2511154980159497,-0.060271857566598544,0.19957165421060774,0.2884722750001387,0.12275426483147067
Austria,2.9153728679443263,0.180486199020538,1.3949697460056973,-0.33149524175684875,-0.789891426822357,-0.786323517693533,-0.14537738520047191,-0.1368261798448844,-0.3332545379727008,0.3307932260744199,-0.4961043910698644,0.10596529363505534,0.06081506819383631,0.02749987857482486,-0.11613746532202371
Poland,-2.016602480080627,0.7800473028225431,0.35060525642883333,-0.1758221227460558,0.26951338130182917,-0.6015167893552442,0.34020703317707784,-0.5431300544679061,-0.056240964963764996,-0.6119556568826646,0.08104249685501261,0.011284790934781597,0.010867245644299514,-0.16210875924342633,-0.17961202785621447
Portugal,-1.5901476525393188,1.5157269858670899,-0.3422182205029748,0.9721850844066339,1.017183458580819,0.07750962983825446,0.5202829159137471,0.12964705934922818,-0.47049662385296054,0.07265269891795596,0.5928902161805867,-0.08059701368667783,-0.12159449119041427,-0.08837835305009906,0.08082703660748031
Romania,-6.659077819798955,-0.08071635348032793,-2.678735597101594,-0.37174038182689895,0.4097751729090648,-0.5205953053648528,-0.26312554643034947,0.17121730658414053,-0.2833701569461342,-0.21515587263086483,0.18746925571040027,-0.27040629742587785,0.25014487177976386,0.10901087294979261,-0.04246162930428754
Slovenia,1.0294396014653426,0.3421374126637407,0.2727962032111971,-0.16439169995627323,0.5102038317263321,-0.10321543228772585,1.2211192396351545,-0.6989217145656299,0.9813345178893719,-0.804501356192707,0.018402474214092576,0.4733341648367829,-0.28694763648541977,0.031210839403803037,-0.14074240616776046
Slovakia,-0.4230120361921597,-0.5691503170990068,-1.7205229385674636,-0.30986315969804584,0.9796960609941371,0.20688409654194034,0.4032075236887387,0.17319643799050582,0.7567732005941,0.483089551592805,-0.2458805978095114,0.29557700111255336,0.6016298420700413,-0.2735973991243968,0.1498751083019667
Finland,1.6464384907959608,-0.5157219053711382,0.08199223155823207,2.0436140505104348,-0.14644996854073677,0.9075013168079277,0.5715576966511362,0.282970511940258,-0.12767306250625549,-0.030900575501461556,-0.29441825643949315,-0.037753930507460384,0.1656262092688171,0.14162428780701938,0.018234583568730006
Sweden,0.2998919722515548,-0.10274719985597135,-0.11701940156075602,0.036426243145437076,-0.3246519224393056,0.5935731388000383,0.030358056891618853,0.1882135919866667,0.15525096481842351,0.31542437381555494,-0.07284087066629558,0.6386650638117229,-0.3235462534724376,-0.12113588743744494,0.009938578289424623
Iceland,4.726993770692278,0.1560521287356928,-1.4739556816526982,-1.55660077506531,-0.6667301951997694,0.5476526609335449,0.07428683310111686,-1.3439260302865808,-0.34911210495585565,-0.01488793086115609,0.6193308712857951,0.1926332992413615,0.12772603605709576,0.2842363550597058,-0.11105454472799248
Norway,4.71896751941828,-0.8337521382858636,-0.7212627887246289,-0.7699535793519746,0.17211721906026667,-1.3491505048018995,0.7104263841539373,-0.4091264387949033,0.056697251883174656,0.5414404168290373,-0.17547049794702763,-0.6537583137184781,-0.24367793218495604,0.17656696562361862,0.18093459095172582
Switzerland,4.302507052241229,0.47399359487997833,-1.1614837712862662,-0.25432322946034036,-0.2984257874135029,-0.7206470849076211,-0.8771963154521619,1.4256608384947884,0.47526657865496136,-0.06480779534886821,0.47880243556954366,-0.13870350127082196,-0.45848571446757963,-0.3121274752096222,-0.14594190735130114
United Kingdom,1.2988547934221908,-0.4784514491554212,-0.014823340056570766,1.3856685854869433,-0.29281917224244525,0.9725447387156773,0.5633152837497318,-0.05636171781803929,-0.15681076498426327,0.01966763724200226,-0.2582787887506723,-0.03849345928256531,0.13936224376619658,0.18046721308848887,0.06635055748076883
Bosnia and Herzegovina,-5.924723830774896,-1.9529378083706057,0.847083530651065,0.45844517486036296,-0.6187571224915657,-1.9412369216187744,1.1712523818054918,0.17436642999809773,-0.2367985660025652,0.36119196712046125,-0.06892068437746043,0.3128732182993503,-0.10994585554007702,0.11071240788122083,-0.20014226018217407
Montenegro,-0.0011471293355705071,-0.0002139358231252388,-0.00041906212036129823,-0.0002870511004096895,-0.0005563100375062737,-0.00013934989751618432,0.00020169431319108988,-0.0001692590595107309,-0.00031364998874641405,-0.00018796445758584792,0.00020355736708902028,1.5076524568486987e-05,-0.00023332550482179168,-4.001071212285585e-06,-4.4912522853117647e-05
