,Country
C1,Czechia Germany Estonia Netherlands Austria Iceland Norway Switzerland 
C2,Bulgaria Cyprus Romania Bosnia and Herzegovina Albania 
C0,North Macedonia 
C3,Belgium Denmark Ireland Greece Spain France Croatia Italy Latvia Lithuania Luxembourg Hungary Malta Poland Portugal Slovenia Slovakia Finland Sweden United Kingdom Montenegro Serbia Turkiye 
