,Country
C1,Belgium Czechia Denmark Germany Estonia Ireland Greece Spain France Croatia Italy Latvia Lithuania Luxembourg Hungary Malta Netherlands Austria Poland Portugal Slovenia Slovakia Finland Sweden Iceland Norway Switzerland United Kingdom Montenegro North Macedonia Serbia Turkiye 
C0,Bulgaria Cyprus Romania Bosnia and Herzegovina Albania 
