,Country
C1,Bulgaria Cyprus Romania Bosnia and Herzegovina Albania 
C2,Belgium Denmark Ireland Greece Spain France Croatia Italy Latvia Lithuania Luxembourg Hungary Malta Poland Portugal Slovenia Slovakia Finland Sweden United Kingdom Montenegro North Macedonia Serbia Turkiye 
C0,Czechia Germany Estonia Netherlands Austria Iceland Norway Switzerland 
