,Cluster
Belgium,C3
Bulgaria,C2
Czechia,C1
Denmark,C3
Germany,C1
Estonia,C1
Ireland,C3
Greece,C3
Spain,C3
France,C3
Croatia,C3
Italy,C3
Cyprus,C2
Latvia,C3
Lithuania,C3
Luxembourg,C3
Hungary,C3
Malta,C3
Netherlands,C1
Austria,C1
Poland,C3
Portugal,C3
Romania,C2
Slovenia,C3
Slovakia,C3
Finland,C3
Sweden,C3
Iceland,C1
Norway,C1
Switzerland,C1
United Kingdom,C3
Bosnia and Herzegovina,C2
Montenegro,C3
North Macedonia,C0
Albania,C2
Serbia,C3
Turkiye,C3
