,Cluster
Belgium,C1
Bulgaria,C0
Czechia,C1
Denmark,C1
Germany,C1
Estonia,C1
Ireland,C1
Greece,C1
Spain,C1
France,C1
Croatia,C1
Italy,C1
Cyprus,C0
Latvia,C1
Lithuania,C1
Luxembourg,C1
Hungary,C1
Malta,C1
Netherlands,C1
Austria,C1
Poland,C1
Portugal,C1
Romania,C0
Slovenia,C1
Slovakia,C1
Finland,C1
Sweden,C1
Iceland,C1
Norway,C1
Switzerland,C1
United Kingdom,C1
Bosnia and Herzegovina,C0
Montenegro,C1
North Macedonia,C1
Albania,C0
Serbia,C1
Turkiye,C1
