,Cluster
Belgium,C2
Bulgaria,C1
Czechia,C0
Denmark,C2
Germany,C0
Estonia,C0
Ireland,C2
Greece,C2
Spain,C2
France,C2
Croatia,C2
Italy,C2
Cyprus,C1
Latvia,C2
Lithuania,C2
Luxembourg,C2
Hungary,C2
Malta,C2
Netherlands,C0
Austria,C0
Poland,C2
Portugal,C2
Romania,C1
Slovenia,C2
Slovakia,C2
Finland,C2
Sweden,C2
Iceland,C0
Norway,C0
Switzerland,C0
United Kingdom,C2
Bosnia and Herzegovina,C1
Montenegro,C2
North Macedonia,C2
Albania,C1
Serbia,C2
Turkiye,C2
