,Country
C1,Ireland Greece Italy Poland Portugal 
C4,Bulgaria Cyprus Romania Bosnia and Herzegovina Albania 
C2,Czechia Germany Estonia Netherlands Austria Iceland Norway Switzerland 
C3,Belgium Denmark Spain France Croatia Latvia Lithuania Luxembourg Hungary Malta Slovenia Slovakia Finland Sweden United Kingdom Montenegro Serbia Turkiye 
C0,North Macedonia 
